param distance_prod_wh :=
  SKIERNIEWICE  PRUSZKÓW     40
  SKIERNIEWICE  PIASECZNO    50
  SKIERNIEWICE  ZIELONKA     60
  KSIĄŻENICE    PRUSZKÓW     30
  KSIĄŻENICE    PIASECZNO    35
  KSIĄŻENICE    ZIELONKA     45
  GÓRA_KALWARIA PRUSZKÓW     55
  GÓRA_KALWARIA PIASECZNO    25
  GÓRA_KALWARIA ZIELONKA     60
  OTWOCK        PRUSZKÓW     50
  OTWOCK        PIASECZNO    30
  OTWOCK        ZIELONKA     40
  WOŁOMIN       PRUSZKÓW     70
  WOŁOMIN       PIASECZNO    65
  WOŁOMIN       ZIELONKA     20
  LEGIONOWO     PRUSZKÓW     60
  LEGIONOWO     PIASECZNO    55
  LEGIONOWO     ZIELONKA     30;


param distance_wh_store :=
  PRUSZKÓW     1    15
  PRUSZKÓW     2    18
  PRUSZKÓW     3    25
  PRUSZKÓW     4    50
  PRUSZKÓW     5    8
  PRUSZKÓW     6    6
  PRUSZKÓW     7    9
  PRUSZKÓW     8    10
  PRUSZKÓW     9    7
  PRUSZKÓW     10   4

  PIASECZNO    1    10
  PIASECZNO    2    12
  PIASECZNO    3    50
  PIASECZNO    4    17
  PIASECZNO    5    3
  PIASECZNO    6    9
  PIASECZNO    7    6
  PIASECZNO    8    4
  PIASECZNO    9    8
  PIASECZNO    10   5

  ZIELONKA     1    20
  ZIELONKA     2    25
  ZIELONKA     3    20
  ZIELONKA     4    25
  ZIELONKA     5    2
  ZIELONKA     6    3
  ZIELONKA     7    7
  ZIELONKA     8    1
  ZIELONKA     9    5
  ZIELONKA     10   6
;
