set PRODUCERS := SKIERNIEWICE KSIĄŻENICE GÓRA_KALWARIA OTWOCK WOŁOMIN LEGIONOWO;
set PRODUCTS := ZIEMNIAKI BURAKI KAPUSTA MARCHEW;
set WAREHOUSES := PRUSZKÓW PIASECZNO ZIELONKA;
#set STORES := 1 2 3 4;
#set WEEKS;

param yearly_production :
			ZIEMNIAKI BURAKI KAPUSTA MARCHEW :=
	SKIERNIEWICE 250 90 20 60
	KSIĄŻENICE 90 100 240 80
	GÓRA_KALWARIA 80 70 190 150
	OTWOCK 100 50 160 150
	WOŁOMIN 140 230 90 210
	LEGIONOWO 150 30 50 190;
	
param capacity :=
	PRUSZKÓW 800
	PIASECZNO 1100
	ZIELONKA 850;

