param distance_prod_wh :=
  SKIERNIEWICE PRUSZKÓW 50.96
  SKIERNIEWICE PIASECZNO 61.22
  SKIERNIEWICE ZIELONKA 78.5
  KSIĄŻENICE PRUSZKÓW 14.34
  KSIĄŻENICE PIASECZNO 23.37
  KSIĄŻENICE ZIELONKA 41.56
  GÓRA_KALWARIA PRUSZKÓW 34.45
  GÓRA_KALWARIA PIASECZNO 16.87
  GÓRA_KALWARIA ZIELONKA 36.25
  OTWOCK PRUSZKÓW 31.13
  OTWOCK PIASECZNO 16.38
  OTWOCK ZIELONKA 23.23
  WOŁOMIN PRUSZKÓW 34.61
  WOŁOMIN PIASECZNO 32.79
  WOŁOMIN ZIELONKA 6.94
  LEGIONOWO PRUSZKÓW 27.65
  LEGIONOWO PIASECZNO 36.75
  LEGIONOWO ZIELONKA 17.87
;
