param weekly_sales :=
1 1 ZIEMNIAKI 0.534
1 1 BURAKI 0.273
1 1 KAPUSTA 0.228
1 1 MARCHEW 0.942
1 2 ZIEMNIAKI 0.367
1 2 BURAKI 0.688
1 2 KAPUSTA 0.663
1 2 MARCHEW 0.427
1 3 ZIEMNIAKI 0.249
1 3 BURAKI 0.972
1 3 KAPUSTA 0.36
1 3 MARCHEW 0.319
1 4 ZIEMNIAKI 0.379
1 4 BURAKI 0.847
1 4 KAPUSTA 0.204
1 4 MARCHEW 0.927
1 5 ZIEMNIAKI 1.159
1 5 BURAKI 1.397
1 5 KAPUSTA 0.523
1 5 MARCHEW 1.259
1 6 ZIEMNIAKI 1.256
1 6 BURAKI 1.478
1 6 KAPUSTA 0.722
1 6 MARCHEW 1.407
1 7 ZIEMNIAKI 1.182
1 7 BURAKI 0.546
1 7 KAPUSTA 0.809
1 7 MARCHEW 1.145
1 8 ZIEMNIAKI 0.736
1 8 BURAKI 0.59
1 8 KAPUSTA 0.78
1 8 MARCHEW 1.31
1 9 ZIEMNIAKI 1.352
1 9 BURAKI 0.673
1 9 KAPUSTA 0.937
1 9 MARCHEW 1.039
1 10 ZIEMNIAKI 1.121
1 10 BURAKI 0.725
1 10 KAPUSTA 0.825
1 10 MARCHEW 0.728
2 1 ZIEMNIAKI 0.694
2 1 BURAKI 0.45
2 1 KAPUSTA 0.81
2 1 MARCHEW 0.901
2 2 ZIEMNIAKI 0.635
2 2 BURAKI 0.361
2 2 KAPUSTA 0.417
2 2 MARCHEW 0.793
2 3 ZIEMNIAKI 0.387
2 3 BURAKI 0.608
2 3 KAPUSTA 0.489
2 3 MARCHEW 0.373
2 4 ZIEMNIAKI 0.674
2 4 BURAKI 0.441
2 4 KAPUSTA 0.459
2 4 MARCHEW 0.783
2 5 ZIEMNIAKI 1.405
2 5 BURAKI 1.056
2 5 KAPUSTA 1.337
2 5 MARCHEW 1.344
2 6 ZIEMNIAKI 1.026
2 6 BURAKI 1.361
2 6 KAPUSTA 0.888
2 6 MARCHEW 0.84
2 7 ZIEMNIAKI 1.335
2 7 BURAKI 1.282
2 7 KAPUSTA 0.625
2 7 MARCHEW 1.14
2 8 ZIEMNIAKI 1.162
2 8 BURAKI 1.026
2 8 KAPUSTA 1.097
2 8 MARCHEW 0.999
2 9 ZIEMNIAKI 0.766
2 9 BURAKI 1.09
2 9 KAPUSTA 0.594
2 9 MARCHEW 0.773
2 10 ZIEMNIAKI 0.745
2 10 BURAKI 0.692
